sentiment,content
neutral,@willem138 What happened to Dave?
0,"I don't feel well. I feel like i could throw up, and my throat hurts really bad! Sad day"
neutral,@CandyCotonCrush
neutral,@dougiemcfly i bet so
neutral,misses the seniors
neutral,@FTSKirstin its taking forever to upload
neutral,@gfalcone601 Is It The Bit Where Hollie Started Crying?
neutral,"@animuxia ????  ? ??????, ?????? ????????,Basquash,K-ON,07-Ghost,Sengoku Basara,Valkyria Chronicles,RequiemForThePhantom,EdenOfTheEast."
neutral,@silverpearl17 Hey there! What's up?!
neutral,"off to school, the home for some AP studying!"
0,Got rocks. And found my car got birdied this evening.
0,"probably going to miss Silverstone's race again this season in iRacing , so sad   this track is pure laser scanned awesomeness"
0,@JJaneBB I didn't include that in my getaway music.  I fail.
0,watching &quot;That Thing You Do&quot; on Comcast. Missing my boo like crrrrrazy!
0,@morrgaan oh no  this week is just a bad one for everyone. i love you &amp; your pretty face &amp; youre going to do fantastic in concert tonight
0,Looking for food at home!.... nothing
0,Watching QI on Dave - still quite bored! Not even Adam Davis can cheer me up.  And he's quite funny.
neutral,will be working at 7/11 this summer
0,@GeneralTekno I won't be getting any ROTF toys 'till MUCH later.  Tell me if anybody isn't/is worth getting.
0,"Omg, someone just left me a voicemail at work    ffs let me have a day off"
neutral,@KNUSEE *hugs* listening to EBTG &quot;Each &amp; Every One&quot; perfect for public hol Monday morn with cuppa T
neutral,"@keza34 ok babe gotta go back to work, tweet you later"
0,"I just broke a bottle, I should probably focus on work instead of thinking of more songgoeswrongs"
neutral,Gotta get up early tomorrow...gotta be at work for 9
neutral,Going to MIyake's for some sushi and sake bombs.
neutral,Make your own Google search page with your name   http://tinyurl.com/c4237j
0,i need a jb but i dread the fact that it will have to be retail this summer
neutral,Home now. Some invaders have taken over my base
0,"I wish I was out of school...But sadly, I still have like another month left."
neutral,Wanna go out
neutral,We are checking out and on our way home  I am rwady to be home!
0,@paulshadwell Thanks for trying! Done just that and no good  If I can't fathom it I'll take it to Apple Store. Sigh...
0,Just woke up from nap and then ate nasi padang and pisang cokelat
neutral,@NarotBahar are u planning on doing cardio for 1.5 hrs? If so that's very reasonable  whatcha do last night?
neutral,@Andrew_Johnson: have a good night
neutral,"@HellenBach indeed i have hellen, thought i better get a TOG name rather than use my company name"
neutral,"@LYNETTE21XL when u go, LMK. Let's go together"
neutral,was hoping to go to Red Lobster this weekend
0,@jimmyheartcore awwwww snaaaap Jimmaaayy.  You are the man with hookups.  Too bad I'm so far away!!
neutral,@hambers It means &quot;luv ya&quot; in Zulu/Xhosa. Probably spelt it wrong lol. Can't b creative 2day ...tired  so translated
neutral,@Rhispect LOL thx
0,@mrinklin i have started saving my Tumblr drafts because that happened to me this week and i was so sad
0,missing ontario..
neutral,@JustYassy i did  i dont no
0,@anant25121986 it is so unfair that all the good rock shows happen only in B'lore and Pune
0,Not made it to work  couldn't get up feelin blurgh
neutral,@BigDaws I know.
0,watching the original sabrina the teenage witch movie. so different from the series but so rad
neutral,@msdiazz ask how long adrians took lmao ... Intime
neutral,@mellabella6 and if i lived in usa i would gotto 2 go to  106 park ma aunty lives in NYC the bronx GRRR
0,@lozzyx NOICE. I realised that after exams I have 2 more weeks  Forgot about the whole 2 weeks of Unit 4 in term 2 thing :/
neutral,Even numbers again
neutral,"@rdkpickle For the movie, but maybe I am just a little awesome."
neutral,May the 4th be with you all
neutral,@grazzini You've been featured on #ykyat  http://ykyat.com/~37nnd
0,is still sick  sigh
neutral,Got back and putting in the laundry. We got in there last  o well as long as its clean. #DSAA09
0,@1Shan no sir...i woulda put honey...but i don't have any
neutral,Hey u forgot me!
neutral,"@glamorousamanda awww how cuuute, mine follows me when i showers and peeï¿½s and wherever i go but refuses to lay still in the bed"
0,@Jaz_paige aww hey! I didn't know this was you! LOL. I'm sick. No outtie for me.
0,@AyeshaM13 bored in class. I wanna go home.
0,@binary42 I'm sorry you won't make it.
neutral,@keytar still!! give your computer a break omg
neutral,shud realy go 2 bed  proper tired bt cnt b boverd...x
0,@gealbhan_beag     I hate cat pee.
neutral,Has Ruth today
neutral,"OHHH darn, forgot about a phonecall I had to make since Monday.. GREAT!!! now they're closed"
neutral,fully inspired to write a song.
0,Laundry time and LOTS of it!
neutral,waiting for the battery to charge for my new DSLR
neutral,All ready for costume making! But... there's no one here...!
neutral,"Two months ago, I became worthless."
neutral,"Shopping. Cleaning. BMFing. Webcam chatting with nephews. Nothing spesh, but a good bank holiday Monday nonetheless"
0,"michael scofiled Noooooo !!  I hate the writer, director n production"
neutral,Hot ramen soup to end a longgg munching night
0,@getape I had bad net issues on Weds so couldn't broadcast  Am on tonight tho... tune in for new anthems and bad mixing!
0,@supergirlnancy sorry  All the codes I have are posted on our site
neutral,@AffirmationSpot Around better..  How are you ?
neutral,I'm holding Audrey (mine and Erica's bean bag thing)
neutral,hates karma down. bakit kse nilagnat aq khpon?  http://plurk.com/p/wy4ju
neutral,@elledeutsch ok ! can you text me so I have your number..i didnt have any saved to sim
neutral,@Documentally he was always a bit smug as a whistle-blower. The 9-11 denial stuff is pretty spectacular too
neutral,Let me google that for you http://lmgtfy.com/
neutral,"@ThisIsRobThomas Enjoy Springsteen, I'm seeing him at Glastonbury in June!! Give us a report when you get back"
neutral,Heading home
0,@CrypticIrnAngel thats a bummer i haven't got one yet :/ been waiting over a year  grrrrrrrrrrrrrrr
neutral,1 more to 800... which one of your friends deserve a free hug?
0,@lilabiem awww  don't do this to meee haha now you're gonna make me saddd
0,@feltbeats That's right... kick me when I'm down.
neutral,Eurgh.. Revision.. Who invented History?
0,21 days away from being evicted
0,I'm starving!! This diet is killing me but I can't eat after 8pm
neutral,Off to see the Doc in a bit to get the knee checked out
0,"its 2:08 am. I CAN'T SLEEP!!!!!  i thought it was b/c im hungry, so i whipped up a pb&amp;j with milk. hopefully it works!!!!"
0,im depressed on this pretty day  Everyone either is doing something or CAN'T...bleh -.-
neutral,"just got home, talk"
0,"@niqa86 I miss you too, Mojokins! I go there, but not long enough to comment  Will do more this weekend!"
0,@MmMmMshell I miss having u as a roommate
neutral,@Kaylaphlegar people dont get into fender benders on the way to school that just doesnt happen hahahahah
neutral,SOMEBODY CHECK THE WEATHER FOR ME  kthxbai.
neutral,@LeXxLuV nothing bout 2 go 2 work
neutral,JT should just be a regular on SNL
neutral,@spontaneo is there ANYTHING good about our country?
0,"@PerezHilton hey perez! good luck! well, i'm still planning for a big present to be given for my mom! i love you mom!"
neutral,New tattoo design = check.  Placement = no idea.
0,Where is the boss... I'd like to have my check and leave please!
neutral,ehhh.scratch laying out.no sun  going out to lunchhhhh.
neutral,@backstreetboys   why!!!! u have to bring it to you 24/7 like the @backstreet_team
0,I dont want to be ugly anymore
neutral,@allisonfelmet What's wrong?
0,I miss my friends so much
neutral,"@mashable Thanks to TweetStats, I confirmed what I long suspected: Twitter is keeping me up way too late!  ht.. http://twurl.nl/oaerf4"
neutral,@PatsyTravers i think twitter hates every1 when it comes 2 photos! took me ages the other day 2 change my pic!! especially at this time!
neutral,@OGBERRY cold and rainy
neutral,fun on facebook.
neutral,rock week @IdolNews i don't think danny's gonna go home this week  he's never been in the bottom three.. and he's a really good singer
neutral,@DuaneCoffin then maybe we should ask Him for a raise.
0,@NCLUSA Sorry to disappoint. Not a big Nascar fan but I'm still an all-around decent redneck other than that.
neutral,Bacon Fail.  Ended up with a commiseration muffin
neutral,@j4mes_c ive sorted it now operating system and all apps are on a seperate 60gb drive
neutral,And then you find out today they had there first kiss! }
neutral,"@KimKardashian You remind me so much of a Omaha Girl, that I use to date.  I guess it all in the Jeans, (Calvin Kleins is what she wore)."
neutral,@CarlosV cool np. It's got me working on a series of designs.
0,@michelleweber  Been there and never at a good time   Your recourse is small claims or you can get a atty involved. But that is more $
0,So lathargic... Definitely need today to rest. Sad bout havin to call out but mentally i needed to
neutral,"You're never alone Just when you think no one cares, you realize that there' always one person you cares for you"
neutral,Morning back to all
neutral,"@JasonTurcotte Say cheese for the camera, or throw up some Western Mass gang signs to be cool"
neutral,my dad is mad cause I hid in my room for his entire dinner party
neutral,Wanted to buy Amber Bensons death's daughter today and no where had it
neutral,@LelahG Next time
neutral,@jp1983 Ahhh Lincoln...i'll run..see you in 2 hours
neutral,@compassandcoin you are not alone
neutral,@corie_michele thanks for that...am now following them...love good causes
neutral,@MathieuTO My neighbour is fond of loud Nickelback.
0,@jacobmaestas I don't think I'll ever have one of those again
neutral,@Bizfizz Does it start tomorrow?  I was going to book Sam on that and forgot
0,god opened the clouds and said i hate you josh
0,Out for an evening on the town with jeremy. Sad Carrie can't come
neutral,@MyPreciousKid - i can do &quot;Nana&quot; or &quot;Nana Rocks&quot; for you in rhinestones &amp; do printed onesies for them &quot;my nana loves me&quot;
neutral,Lots of noisy peeps outside
neutral,@deversum lolz  I'm the other way 'round. My English is better than my Dutch (which is considered weird here :p)
neutral,I may have to take a trip in to the loft to get the fans down...its like being in spain!! Except without a pool to cool down in  xxxxxxxx
neutral,@algo81 Yes I think it's safe to say she is at the same popularity level today as always.
0,im really tired.. not much time to sleep
neutral,"going to work, it's 3:30am"
0,That's it? It's done already? This is one proof that there's nothing fair in this world.   http://bit.ly/10UEMq
neutral,@Lil_Heidi_V  Thank you pretty lady.
neutral,@dmeeker @alanstevens  @scrum_coach @sethrowe @scottreynolds IMHO this soft is the best to keep the chaos straight   http://bit.ly/yuFil
0,@DirtyLiz It's because we're right
0,@LindseyNHess I agree 100^%! It's a great day! If only I had a window to see it...
neutral,roll me in your arms cuz i cant remember ever falling this hard.. -avalanche by DC
neutral,"@lizajbeck You did know, you just couldn't remember!!"
0,No more mrs. reilly
0,I got a full day of work today.  Can't wait in tell i get home for some beer and tv time  but i got to make the money to get the beers
0,I have to work tonight  But I get my paycheck!
neutral,@bggrice home now and added a few more Grice's to my list
neutral,"Oky So the grandperents just went out cause my Granda is going to drive , he missed it when he was in hostipal"
neutral,I'm totally going to bed right now.
0,mad traffic
0,@syzygy thank you
0,i want to see my bud mel  miss hur loads
neutral,@dfizzy ya I would so loose my appetite
neutral,Work time....
neutral,@JoesGaGirl Oh...ok...didn't know that.
neutral,i can't see results for whyareyoustillhere
neutral,hopefully im getting my new windows tomorrow. still using my mums lap... birthday tomorrow eve and facebook doesnt work somehow.
neutral,No Yonkers news posts until June 2 because the newspaper furloughed me
0,That's okay... I didn't want to watch shelby anyway!
0,At home sick.. On a friday...studying is all im doing at this point.. My weekend is so ruined
neutral,"never did sleep last night  feeling horrible today, time to call work I thinks..."
0,Marley and me is the saddest movie ever I never cry in movies but this movie mad me cry
0,"@MarkK_H when you wake up, tweet me and let me know when ur on msn. I really need to talk to you  miss you"
neutral,@Kris_Brown been holding onto this one for a while  http://twitpic.com/4w5eh
neutral,going drinking tonight... drinking away the blues......
neutral,going to jack's tribute match today
0,going to bed...with NO sexy time UGHHH!
0,@BIGBOYRAMSACK kenny u alive!!!...I'm here getting da hair done..to bad I'm not chillin w/ u todat  kinda sad
neutral,@PC_Tech I just woke up a little while ago i did sleep a couple of hours lol i'm wide awake now
neutral,happy mother's day! everyone have a great day and make sure you go see ya mommas
neutral,"@NoahBond Good Grief! I can't say much, I was driving home from Martin through IKE last fall. Be interesting to hear what he says!"
neutral,@bain2 I'll help if you pay for my reactivation
neutral,@allymcfly :O she shouldnt judge the song on who wrote it  tell her shes mean haha
neutral,@techstartups people still mail things?
0,@Alice286 lucky girl!!! I work all day tomorrow! and maybe even Monday!!
neutral,my last tweet didn't send  bad phone
0,"Really mad at myself for forgetting about the May 24 deadline for the 40,000 mile award trips to South America on @UnitedAirlines"
neutral,@snuffleupagous I really wish I could convince Brandon to move somewhere like that. All he wants to do is move to Lexington.
0,"I wouldn't mind some sunshine and a walk. Where are you, summer??"
neutral,@rachmurrayX  were do you  work??
0,not really in the twitter mood today... i don't know what to do
0,@KellyCombs  I'm bummed to miss you.   Hope you enjoy your writing conf. tho!
0,is in the costume shop cleaning and STARVING. Bring me food???
neutral,"@gretchenemily I'm in an 8 now too, but b4 I had kids I was a 6.5! Darn babies making my feet grow"
neutral,There is one million people @ the DMV today.....
neutral,Gonna have some brekkie get ready and then do it
neutral,Is revisingg
neutral,"@Emmaroo youre not going, are you   ?"
neutral,They're gone.
neutral,How can you guys lived in a city (paris)where u spend you entire life in the trafficjam...grrrr ...m' not used to it anymore
